plate code,city,latitude,longitude,population,ratio_of_HigherEducation,Y_Income_PerCapita
1,Adana,37,35.3213333,2.263.373,17.87,44.14
2,Adıyaman,37.7641667,38.2761667,632.148,15.56,26.81
3,Afyonkarahisar,38.76376,30.54034,744.179,14.18,41.95
4,Ağrı,39.7216667,43.0566667,524.644,10.56,21.36
5,Amasya,40.65,35.8333333,335.331,17.28,41.88
6,Ankara,39.92077,32.85411,5.747.325,29.08,85.40
7,Antalya,36.88414,30.70563,2.619.832,21.02,50.92
8,Artvin,41.1833333,41.8166667,169.543,13.81,62.02
9,Aydın,37.8444,27.8458,1.134.031,18.42,42.18
10,Balıkesir,39.648369,27.88261,1.250.610,18.66,52.28
11,Bilecik,40.150131,29.983061,228.334,18.01,70.50
12,Bingöl,38.885349,40.498291,283.112,15.37,33.26
13,Bitlis,38.4,42.1166667,352.277,13.66,27.34
14,Bolu,40.739479,31.611561,320.014,18.90,65.44
15,Burdur,37.726909,30.288876,273.716,18.45,50.89
16,Bursa,40.18257,29.06687,3.147.818,18.95,66.00
17,Çanakkale,40.155312,26.41416,557.276,20.73,69.20
18,Çankırı,40.6,33.6166667,196.515,14.92,50.65
19,Çorum,40.5505556,34.9555556,526.282,14.56,38.18
20,Denizli,37.77652,29.08639,1.051.056,17.87,54.16
21,Diyarbakır,37.91441,40.230629,1.791.373,14.83,27.06
22,Edirne,41.6666667,26.5666667,412.115,17.81,50.65
23,Elazığ,38.680969,39.226398,588.088,18.59,41.74
24,Erzincan,39.75,39.5,237.351,19.28,61.17
25,Erzurum,39.9043189,41.2678853,756.893,16.53,36.44
26,Eskişehir,39.784302,30.51922,898.369,23.14,65.19
27,Gaziantep,37.06622,37.38332,2.130.432,14.17,47.61
28,Giresun,40.912811,38.38953,450.154,16.76,37.25
29,Gümüşhane,40.4602778,39.4813889,150.119,17.65,37.98
30,Hakkari,37.5833333,43.7333333,278.218,14.21,35.91
31,Hatay,36.4018488,36.3498097,1.670.712,15.61,37.78
32,Isparta,37.7666667,30.55,445.678,20.75,47.35
33,Mersin,36.8,34.6333333,1.891.145,18.27,52.11
34,İstanbul,41.00527,28.97696,15.840.900,24.07,97.95
35,İzmir,38.41885,27.12872,4.425.789,23.17,70.01
36,Kars,40.59267,43.077831,281.077,13.85,33.76
37,Kastamonu,41.38871,33.78273,375.592,14.66,49.13
38,Kayseri,38.7333333,35.4833333,1.434.357,18.55,53.36
39,Kırklareli,41.7333333,27.2166667,366.363,17.71,67.97
40,Kırşehir,39.15,34.1666667,242.944,18.57,42.89
41,Kocaeli,40.8532704,29.8815203,2.033.441,20.30,96.75
42,Konya,37.8666667,32.4833333,2.277.017,16.92,49.33
43,Kütahya,39.4166667,29.9833333,578.64,16.70,47.86
44,Malatya,38.35519,38.30946,808.692,19.14,36.84
45,Manisa,38.619099,27.428921,1.456.626,15.24,59.44
46,Kahramanmaraş,37.5833333,36.9333333,1.171.298,14.62,39.42
47,Mardin,37.3122361,40.735112,862.757,13.02,35.48
48,Muğla,37.2152778,28.3636111,1.021.141,21.97,57.92
49,Muş,38.7432926,41.5064823,405.228,11.32,28.68
50,Nevşehir,38.62442,34.723969,308.003,16.15,39.39
51,Niğde,37.9666667,34.6833333,363.725,14.61,41.20
52,Ordu,40.9833333,37.8833333,760.872,14.74,35.54
53,Rize,41.02005,40.523449,345.662,18.11,47.51
54,Sakarya,40.7568793,30.378138,1.060.876,17.07,57.69
55,Samsun,41.292782,36.33128,1.371.274,18.02,41.40
56,Siirt,37.94429,41.93288,331.98,14.18,30.88
57,Sinop,42.0264222,35.1550745,218.408,15.09,38.00
58,Sivas,39.747662,37.017879,636.121,16.91,41.60
59,Tekirdağ,40.9833333,27.5166667,1.113.400,16.80,84.52
60,Tokat,40.3166667,36.55,602.567,15.53,32.43
61,Trabzon,41,39.7333333,816.684,20.19,42.80
62,Tunceli,39.1079868,39.5401672,83.645,21.79,60.26
63,Şanlıurfa,37.15,38.8,2.143.020,10.68,20.42
64,Uşak,38.682301,29.40819,373.183,15.79,52.48
65,Van,38.4941667,43.38,1.141.015,12.30,22.10
66,Yozgat,39.82,34.8044444,418.5,13.22,35.52
67,Zonguldak,41.456409,31.798731,589.684,15.31,45.18
68,Aksaray,38.36869,34.03698,429.069,13.69,48.51
69,Bayburt,40.255169,40.22488,85.042,17.16,38.27
70,Karaman,37.17593,33.228748,258.838,16.31,54.67
71,Kırıkkale,39.846821,33.515251,275.968,17.21,43.27
72,Batman,37.881168,41.13509,626.319,14.89,26.19
73,Şırnak,37.5163889,42.4611111,546.589,12.40,33.58
74,Bartın,41.6344444,32.3375,201.711,13.97,38.67
75,Ardahan,41.110481,42.702171,94.932,13.81,46.39
76,Iğdır,39.9166667,44.0333333,203.159,14.41,38.16
77,Yalova,40.65,29.2666667,291.001,21.00,67.34
78,Karabük,41.2,32.6333333,249.287,20.00,45.11
79,Kilis,36.718399,37.12122,145.826,15.65,35.52
80,Osmaniye,37.06805,36.261589,553.012,17.10,35.67
81,Düzce,40.843849,31.15654,400.976,16.99,52.37
